lat,lon
-31.9745,-154.939891666667
-32.2793583333333,-154.776425
-32.3169666666667,-154.841891666667
-32.1767583333333,-154.342897222222
-32.6838361111111,-156.060188888889
-32.6691277777778,-156.044344444444
-32.5960888888889,-155.597
-32.9277666666667,-155.649355555556
-33.2139805555556,-155.56035
-33.2370055555556,-155.577480555556
-33.2245722222222,-155.595386111111
-32.9066361111111,-155.365169444444
-32.6554027777778,-155.197622222222
-32.8775611111111,-155.201794444444
-30.8337388888889,-154.33645
-30.8357722222222,-154.372830555556
-30.4850305555556,-154.241566666667
-30.47195,-154.294461111111
-30.4246666666667,-154.251255555556
-33.3403666666667,-152.927258333333
-33.6681083333333,-155.053380555556
-33.6418388888889,-155.529461111111
-33.4268583333333,-155.458677777778
-33.5068833333333,-155.407369444444
-34.919525,-156.804805555556
-34.9289166666667,-156.8137
-33.5505194444444,-157.396988888889
-33.4253833333333,-157.122227777778
-33.2178111111111,-156.510438888889
-32.9708527777778,-157.142591666667
-32.869325,-158.2161
-32.9711222222222,-152.623413888889
-33.2430527777778,-154.817997222222
-30.8388111111111,-154.337588888889
-30.833825,-154.379352777778
-32.7479611111111,-154.856802777778
-32.7632722222222,-154.853625
-32.3299138888889,-155.386769444444
-31.8907055555556,-154.483875
-32.0005722222222,-154.395736111111
-32.2317888888889,-154.885694444444
-32.8135861111111,-156.256497222222
-32.9668194444444,-155.573380555556
-33.1482805555556,-155.646372222222
-33.1423944444444,-154.578955555556
-33.113625,-155.587413888889
-33.0878666666667,-155.571111111111
-33.063675,-155.565936111111
-33.2724111111111,-155.438822222222
-33.2129722222222,-155.387280555556
-33.1082277777778,-155.4468
-32.3083166666667,-154.637713888889
-32.970825,-152.617447222222
-35.207575,-152.050722222222
-36.0931111111111,-153.498291666667
-34.9200972222222,-154.287436111111
-33.7603777777778,-155.406947222222
-33.33505,-155.011908333333
-33.5179861111111,-155.519480555556
-33.8162694444444,-156.396083333333
-34.2968416666667,-156.488225
-34.3146027777778,-156.577675
-34.6926861111111,-156.052961111111
-33.3205305555556,-158.001597222222
-33.3652083333333,-157.831283333333
-33.43905,-157.456936111111
-33.4951055555556,-157.466216666667
-33.3294111111111,-157.338011111111
-33.4779138888889,-156.357261111111
-33.0990777777778,-156.494475
-33.1071944444444,-156.551955555556
-33.1128333333333,-156.386194444444
-33.0416055555556,-156.313938888889
-32.9466277777778,-157.344508333333
-32.9532388888889,-157.672888888889
-32.9338888888889,-157.654666666667
-32.7093944444444,-157.86135
-33.2041861111111,-158.228627777778
-33.016975,-158.252419444444
-32.753775,-158.322458333333
-32.6769722222222,-158.210683333333
-32.5847722222222,-158.005116666667
-32.5206888888889,-158.135222222222
-32.5700083333333,-158.276044444444
-34.2092916666667,-152.561255555556
-33.373825,-152.592269444444
-33.3657166666667,-152.570630555556
-32.7574083333333,-152.604519444444
-33.40765,-154.661766666667
-31.650575,-154.522586111111
-32.9670777777778,-155.578711111111
-33.1102166666667,-155.442830555556
-33.0319611111111,-155.327713888889
-32.0824194444444,-154.882772222222
-35.1728027777778,-154.663175
