lat,lon
-32.8737861111111,-155.366311111111
-30.8775944444444,-154.333497222222
-33.6250833333333,-155.076352777778
-35.2588777777778,-156.239333333333
-35.2803138888889,-156.9565
-33.29455,-157.286216666667
-33.2111027777778,-157.051738888889
-33.2478138888889,-156.094958333333
-33.2092666666667,-156.489322222222
-32.9711222222222,-152.623413888889
-30.8735083333333,-154.332955555556
-32.3299138888889,-155.386769444444
-32.0572333333333,-154.7564
-32.6651388888889,-155.934916666667
-31.04655,-154.432758333333
-32.3237333333333,-154.703825
-32.7834638888889,-153.888233333333
-32.970825,-152.617447222222
-33.6286666666667,-153.293875
-36.0931111111111,-153.498291666667
-35.8917027777778,-155.596638888889
-35.7884472222222,-155.439636111111
-34.711,-155.897188888889
-33.3652083333333,-157.831283333333
-33.3973833333333,-157.092172222222
-33.2145722222222,-157.177147222222
-33.0990777777778,-156.494475
-32.9890888888889,-156.342897222222
-32.9532388888889,-157.672888888889
-32.6063833333333,-158.146186111111
-32.81755,-155.218697222222
