lat,lon
-32.1767583333333,-154.342897222222
-33.2139805555556,-155.56035
-33.2245722222222,-155.595386111111
-33.2221805555556,-156.130069444444
-33.1401361111111,-158.120863888889
-33.1043166666667,-158.162002777778
-30.8735083333333,-154.332955555556
-32.970825,-152.617447222222
-34.1960444444444,-155.127186111111
-33.4967416666667,-157.425119444444
-33.4509472222222,-157.386433333333
-33.4911305555556,-157.386158333333
-33.4742944444444,-157.184369444444
-32.6598194444444,-158.230358333333
-32.9789916666667,-155.610575
