lat,lon
-32.8693194444444,-155.181244444444
-32.9678611111111,-157.129825
-33.1497833333333,-158.123041666667
-33.1401361111111,-158.120863888889
-33.0982722222222,-158.163522222222
-33.1043166666667,-158.162002777778
-32.3013083333333,-158.387694444444
-32.2942222222222,-158.395977777778
-32.2317888888889,-154.885694444444
-34.0619055555556,-154.613736111111
-34.6440888888889,-155.978275
-35.52005,-157.099897222222
-33.4598472222222,-157.564927777778
-33.5186777777778,-157.299147222222
-33.2837,-156.95185
-33.4779138888889,-156.357261111111
-32.9494805555556,-156.390958333333
-32.6586888888889,-156.549297222222
-32.751025,-156.738583333333
-32.7606888888889,-156.818913888889
-32.7516083333333,-156.837944444444
-32.7303944444444,-156.814111111111
-33.0797972222222,-157.389130555556
-32.9532388888889,-157.672888888889
-32.9176,-157.6843
-33.1669166666667,-158.211297222222
-33.1966805555556,-158.099169444444
-32.8516972222222,-158.202025
-32.8265361111111,-158.195722222222
-32.7374888888889,-158.208861111111
-32.3065277777778,-158.470061111111
-32.3925972222222,-158.374488888889
-34.6899527777778,-152.632458333333
-34.1998611111111,-152.654161111111
-32.8925694444444,-152.5896
-32.85265,-152.771497222222
-31.4900111111111,-154.104938888889
-31.45915,-154.604505555556
-33.9929416666667,-155.184633333333
