lat,lon
-32.614225,-155.620611111111
-32.6250555555556,-155.648430555556
-32.5960888888889,-155.597
-32.5831083333333,-155.643675
-32.9066361111111,-155.365169444444
-32.8737861111111,-155.366311111111
-32.8775611111111,-155.201794444444
-34.919525,-156.804805555556
-34.9289166666667,-156.8137
-34.9235083333333,-156.827
-33.4538194444444,-157.1337
-33.273075,-157.280586111111
-33.29455,-157.286216666667
-33.2537888888889,-157.262544444444
-33.2111027777778,-157.051738888889
-33.2185166666667,-157.083111111111
-33.5558166666667,-156.357319444444
-33.5706,-156.306533333333
-33.3191388888889,-156.036311111111
-33.3212916666667,-156.061266666667
-33.3324361111111,-156.109811111111
-33.3265944444444,-156.137777777778
-32.6897861111111,-156.797636111111
-33.1497833333333,-158.123041666667
-33.2463194444444,-154.796069444444
-30.8735083333333,-154.332955555556
-32.3299138888889,-155.386769444444
-32.0987444444444,-154.816377777778
-32.6651388888889,-155.934916666667
-32.9668194444444,-155.573380555556
-33.1482805555556,-155.646372222222
-33.1423944444444,-154.578955555556
-33.113625,-155.587413888889
-33.0878666666667,-155.571111111111
-33.063675,-155.565936111111
-33.2724111111111,-155.438822222222
-33.1082277777778,-155.4468
-33.1120111111111,-154.946880555556
-33.0880583333333,-154.809516666667
-34.3135888888889,-153.902294444444
-35.207575,-152.050722222222
-36.468825,-155.998436111111
-36.3104888888889,-155.947716666667
-34.9200972222222,-154.287436111111
-33.7177111111111,-155.489236111111
-33.8162694444444,-156.396083333333
-34.2334888888889,-155.774658333333
-34.6926861111111,-156.052961111111
-35.1333777777778,-156.223325
-33.451125,-158.094252777778
-33.3923555555556,-157.700769444444
-33.4044777777778,-157.596533333333
-33.4598472222222,-157.564927777778
-33.43905,-157.456936111111
-33.4651805555556,-157.431847222222
-33.4951055555556,-157.466216666667
-33.4967416666667,-157.425119444444
-33.4509472222222,-157.386433333333
-33.4911305555556,-157.386158333333
-33.3973833333333,-157.092172222222
-33.4742944444444,-157.184369444444
-33.3445333333333,-157.002627777778
-33.3121222222222,-156.991147222222
-33.3294111111111,-157.338011111111
-33.3158555555556,-157.313538888889
-33.1892138888889,-157.014125
-33.2335833333333,-156.425747222222
-33.1071944444444,-156.551955555556
-33.1285916666667,-156.340961111111
-33.1128333333333,-156.386194444444
-33.0989472222222,-156.323452777778
-32.9494805555556,-156.390958333333
-32.7034527777778,-156.451686111111
-32.751025,-156.738583333333
-32.7606888888889,-156.818913888889
-32.7516083333333,-156.837944444444
-32.7303944444444,-156.814111111111
-32.6752888888889,-156.799227777778
-32.9466277777778,-157.344508333333
-33.0797972222222,-157.389130555556
-33.0927388888889,-157.375813888889
-32.9338888888889,-157.654666666667
-32.7093944444444,-157.86135
-32.8920444444444,-158.177388888889
-32.8265361111111,-158.195722222222
-32.8227194444444,-158.225327777778
-32.7984111111111,-158.217322222222
-32.8036722222222,-158.249630555556
-32.753775,-158.322458333333
-32.7691527777778,-158.206397222222
-32.7374888888889,-158.208861111111
-32.7054638888889,-158.249763888889
-32.6769722222222,-158.210683333333
-32.6598194444444,-158.230358333333
-32.6672694444444,-157.989088888889
-32.6361527777778,-158.006938888889
-32.6401611111111,-157.985469444444
-32.5847722222222,-158.005116666667
-32.5690555555556,-158.182961111111
-32.6063833333333,-158.146186111111
-32.693275,-158.179238888889
-32.7186722222222,-158.156016666667
-32.7471083333333,-158.170938888889
-32.3065277777778,-158.470061111111
-32.4338972222222,-158.416002777778
-32.3411722222222,-158.336075
-32.3596277777778,-158.333733333333
-32.3925972222222,-158.374488888889
-32.4582916666667,-158.334366666667
-32.4600777777778,-158.267611111111
-32.5700083333333,-158.276044444444
-35.9652861111111,-153.494491666667
-36.2499944444444,-153.686136111111
-36.3226166666667,-153.745819444444
-35.8482277777778,-152.917411111111
-35.8821666666667,-152.969280555556
-35.7903083333333,-152.098036111111
-34.7834777777778,-152.419430555556
-34.2092916666667,-152.561255555556
-33.373825,-152.592269444444
-33.3657166666667,-152.570630555556
-32.8925694444444,-152.5896
-32.7574083333333,-152.604519444444
-32.7858666666667,-153.875619444444
-33.40765,-154.661766666667
-32.19335,-154.745519444444
-32.9670777777778,-155.578711111111
-32.99875,-155.589291666667
-33.1102166666667,-155.442830555556
-33.0319611111111,-155.327713888889
-32.819025,-155.2726
-31.4900111111111,-154.104938888889
-33.9683611111111,-152.991219444444
-34.7920638888889,-152.992225
-36.8367944444444,-154.850875
