lat,lon
-31.9745,-154.939891666667
-31.9482361111111,-154.943552777778
-32.2793583333333,-154.776425
-32.1989416666667,-154.343944444444
-32.2058388888889,-154.398794444444
-32.6691277777778,-156.044344444444
-32.6925416666667,-156.085336111111
-32.5960888888889,-155.597
-32.5831083333333,-155.643675
-32.9277666666667,-155.649355555556
-32.9315666666667,-155.674897222222
-32.9325027777778,-155.617677777778
-33.2370055555556,-155.577480555556
-32.9066361111111,-155.365169444444
-32.8737861111111,-155.366311111111
-32.6554027777778,-155.197622222222
-32.6581222222222,-155.170663888889
-32.6483472222222,-155.245041666667
-32.8693194444444,-155.181244444444
-32.8775611111111,-155.201794444444
-30.8357722222222,-154.372830555556
-30.5253916666667,-154.307702777778
-30.5157166666667,-154.287655555556
-30.4990111111111,-154.236041666667
-30.4850305555556,-154.241566666667
-30.4854527777778,-154.292244444444
-30.47195,-154.294461111111
-30.455425,-154.233638888889
-30.4246666666667,-154.251255555556
-33.3066555555556,-152.897094444444
-33.3403666666667,-152.927258333333
-33.9304666666667,-154.704358333333
-33.9464138888889,-154.709097222222
-33.6681083333333,-155.053380555556
-33.6250833333333,-155.076352777778
-33.6418388888889,-155.529461111111
-33.6702277777778,-155.521355555556
-33.5068833333333,-155.407369444444
-35.2588777777778,-156.239333333333
-35.257475,-156.267716666667
-35.2558722222222,-156.212566666667
-35.2803138888889,-156.9565
-35.2854666666667,-156.936191666667
-34.919525,-156.804805555556
-34.9289166666667,-156.8137
-34.9235083333333,-156.827
-33.5319277777778,-157.379708333333
-33.55405,-157.372263888889
-33.5505194444444,-157.396988888889
-33.4253833333333,-157.122227777778
-33.4538194444444,-157.1337
-33.273075,-157.280586111111
-33.29455,-157.286216666667
-33.2537888888889,-157.262544444444
-33.2111027777778,-157.051738888889
-33.2185166666667,-157.083111111111
-33.3191388888889,-156.036311111111
-33.3212916666667,-156.061266666667
-33.3324361111111,-156.109811111111
-33.242825,-156.144011111111
-33.2221805555556,-156.130069444444
-33.2178111111111,-156.510438888889
-33.2092666666667,-156.489322222222
-32.6897861111111,-156.797636111111
-32.6876638888889,-156.810491666667
-32.9678611111111,-157.129825
-32.9708527777778,-157.142591666667
-33.1497833333333,-158.123041666667
-33.1401361111111,-158.120863888889
-33.0982722222222,-158.163522222222
-33.1043166666667,-158.162002777778
-32.8526194444444,-158.273644444444
-32.869325,-158.2161
-32.3013083333333,-158.387694444444
-32.2942222222222,-158.395977777778
-32.4239444444444,-158.319569444444
-32.4015611111111,-158.336569444444
-32.9789638888889,-152.633325
-33.2430527777778,-154.817997222222
-30.8735083333333,-154.332955555556
-30.833825,-154.379352777778
-30.8582666666667,-154.398011111111
-32.7632722222222,-154.853625
-32.3299138888889,-155.386769444444
-31.8907055555556,-154.483875
-32.0005722222222,-154.395736111111
-32.0572333333333,-154.7564
-32.0987444444444,-154.816377777778
-32.2317888888889,-154.885694444444
-32.8006166666667,-156.339444444444
-32.8135861111111,-156.256497222222
-32.6651388888889,-155.934916666667
-32.5924222222222,-155.750933333333
-32.9668194444444,-155.573380555556
-33.113625,-155.587413888889
-33.0878666666667,-155.571111111111
-33.063675,-155.565936111111
-33.2724111111111,-155.438822222222
-32.7404583333333,-154.993005555556
-31.04655,-154.432758333333
-32.3237333333333,-154.703825
-33.1120111111111,-154.946880555556
-33.0880583333333,-154.809516666667
-33.2404666666667,-152.807238888889
-34.3135888888889,-153.902294444444
-35.207575,-152.050722222222
-36.468825,-155.998436111111
-36.3104888888889,-155.947716666667
-35.8917027777778,-155.596638888889
-35.7884472222222,-155.439636111111
-34.9200972222222,-154.287436111111
-34.0619055555556,-154.613736111111
-34.1960444444444,-155.127186111111
-33.7603777777778,-155.406947222222
-33.7603777777778,-155.406977777778
-33.7177111111111,-155.489236111111
-33.33505,-155.011908333333
-33.8162694444444,-156.396083333333
-33.8516083333333,-156.395922222222
-34.15945,-156.414813888889
-34.2871194444444,-155.840130555556
-34.2334888888889,-155.774658333333
-34.3161611111111,-156.274483333333
-34.3027583333333,-156.336838888889
-34.2536527777778,-156.338136111111
-35.1333777777778,-156.223325
-35.52005,-157.099897222222
-33.9444583333333,-156.962452777778
-33.6701361111111,-157.965841666667
-33.3430055555556,-157.799508333333
-33.3042472222222,-157.802822222222
-33.3640388888889,-157.678891666667
-33.4598472222222,-157.564927777778
-33.43905,-157.456936111111
-33.4651805555556,-157.431847222222
-33.4967416666667,-157.425119444444
-33.4509472222222,-157.386433333333
-33.4911305555556,-157.386158333333
-33.5186777777778,-157.299147222222
-33.3973833333333,-157.092172222222
-33.4306027777778,-157.072658333333
-33.4792472222222,-156.938105555556
-33.2837,-156.95185
-33.1285916666667,-156.340961111111
-33.0989472222222,-156.323452777778
-33.0124916666667,-156.471527777778
-32.9494805555556,-156.390958333333
-32.9890888888889,-156.342897222222
-32.7034527777778,-156.451686111111
-32.6586888888889,-156.549297222222
-32.751025,-156.738583333333
-32.7771694444444,-156.824233333333
-32.7606888888889,-156.818913888889
-32.7516083333333,-156.837944444444
-32.7303944444444,-156.814111111111
-32.6752888888889,-156.799227777778
-32.9466277777778,-157.344508333333
-33.0797972222222,-157.389130555556
-32.9709305555556,-157.703391666667
-32.9532388888889,-157.672888888889
-32.9338888888889,-157.654666666667
-32.8962361111111,-157.680211111111
-32.9176,-157.6843
-32.9138416666667,-157.720061111111
-32.8463694444444,-157.768633333333
-32.7093944444444,-157.86135
-33.2041861111111,-158.228627777778
-33.1669166666667,-158.211297222222
-33.1966805555556,-158.099169444444
-33.016975,-158.252419444444
-32.8920444444444,-158.177388888889
-32.8227194444444,-158.225327777778
-32.8036722222222,-158.249630555556
-32.7322888888889,-158.345888888889
