lat,lon
-30.455425,-154.233638888889
-30.4854527777778,-154.292244444444
-30.4990111111111,-154.236041666667
-30.5253916666667,-154.307702777778
-30.8357722222222,-154.372830555556
-31.04655,-154.432758333333
-31.4926361111111,-154.001427777778
-31.650575,-154.522586111111
-31.7603694444444,-154.485122222222
-31.8907055555556,-154.483875
-31.9745,-154.939891666667
-32.0005722222222,-154.395736111111
-32.0987444444444,-154.816377777778
-32.19335,-154.745519444444
-32.2793583333333,-154.776425
-32.3169666666667,-154.841891666667
-32.3299138888889,-155.386769444444
-32.3411722222222,-158.336075
-32.3596277777778,-158.333733333333
-32.5206888888889,-158.135222222222
-32.5924222222222,-155.750933333333
-32.6063833333333,-158.146186111111
-32.6483472222222,-155.245041666667
-32.6554027777778,-155.197622222222
-32.6651388888889,-155.934916666667
-32.6752888888889,-156.799227777778
-32.6897861111111,-156.797636111111
-32.7093944444444,-157.86135
-32.7303944444444,-156.814111111111
-32.7404583333333,-154.993005555556
-32.7479611111111,-154.856802777778
-32.753775,-158.322458333333
-32.7574083333333,-152.604519444444
-32.7771694444444,-156.824233333333
-32.81755,-155.218697222222
-32.819025,-155.2726
-32.8463694444444,-157.768633333333
-32.8775611111111,-155.201794444444
-32.9066361111111,-155.365169444444
-32.9277666666667,-155.649355555556
-32.9466277777778,-157.344508333333
-32.9890888888889,-156.342897222222
-33.016975,-158.252419444444
-33.063675,-155.565936111111
-33.0878666666667,-155.571111111111
-33.0880583333333,-154.809516666667
-33.0989472222222,-156.323452777778
-33.1102166666667,-155.442830555556
-33.1120111111111,-154.946880555556
-33.1128333333333,-156.386194444444
-33.113625,-155.587413888889
-33.2041861111111,-158.228627777778
-33.2111027777778,-157.051738888889
-33.2178111111111,-156.510438888889
-33.2185166666667,-157.083111111111
-33.2198361111111,-153.1901
-33.2404666666667,-152.807238888889
-33.2724111111111,-155.438822222222
-33.273075,-157.280586111111
-33.3066555555556,-152.897094444444
-33.3191388888889,-156.036311111111
-33.33505,-155.011908333333
-33.3403666666667,-152.927258333333
-33.3445333333333,-157.002627777778
-33.373825,-152.592269444444
-33.3923555555556,-157.700769444444
-33.3973833333333,-157.092172222222
-33.4044777777778,-157.596533333333
-33.4306027777778,-157.072658333333
-33.4651805555556,-157.431847222222
-33.4792472222222,-156.938105555556
-33.5068833333333,-155.407369444444
-33.5319277777778,-157.379708333333
-33.5505194444444,-157.396988888889
-33.6250833333333,-155.076352777778
-33.6418388888889,-155.529461111111
-33.6433277777778,-154.450733333333
-33.6448388888889,-154.449530555556
-33.6681083333333,-155.053380555556
-33.7603777777778,-155.406947222222
-33.7603777777778,-155.406977777778
-33.7796166666667,-155.512955555556
-33.8162694444444,-156.396083333333
-33.9304666666667,-154.704358333333
-33.9444583333333,-156.962452777778
-33.9464138888889,-154.709097222222
-33.9683611111111,-152.991219444444
-34.15945,-156.414813888889
-34.2871194444444,-155.840130555556
-34.3027583333333,-156.336838888889
-34.5686416666667,-155.204172222222
-34.6440888888889,-155.978275
-34.711,-155.897188888889
-34.7920638888889,-152.992225
-34.919525,-156.804805555556
-34.9200972222222,-154.287436111111
-34.9289166666667,-156.8137
-35.1333777777778,-156.223325
-35.207575,-152.050722222222
-35.2588777777778,-156.239333333333
-35.2803138888889,-156.9565
-35.2854666666667,-156.936191666667
-35.52005,-157.099897222222
-35.7407111111111,-155.362647222222
-35.8917027777778,-155.596638888889
-35.8961444444444,-153.061808333333
-35.9284027777778,-153.416772222222
-35.9652861111111,-153.494491666667
-35.9841055555556,-155.776569444444
-36.3104888888889,-155.947716666667
-36.8367944444444,-154.850875
